organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Blumeria graminis f. sp. hordei A6	1283758	PRJNA186717	186717	Fungi	Ascomycetes	47.465	43.8	GCA_000401675.1	NA	AOLT01	21305	NA	NA	2013-05-24	2014-08-04	Contig	Max Planck Institute for Plant Breeding Research	SAMN01888387
Verticillium dahliae	27337	PRJNA432892	432892	Fungi	Ascomycetes	35.7641	53.3	GCA_004798895.1	NA	PRLI01	16	NA	NA	2019-04-17	2019-04-17	Contig	Wageningen University and Research	SAMN08465418
Trichophyton rubrum MR1459	1215341	PRJNA186839	186839	Fungi	Ascomycetes	23.1626	47.2	GCA_000616945.1	NA	AOLC01	486	NA	NA	2014-04-02	2014-04-08	Scaffold	Broad Institute	SAMN01091674
Tursiops truncatus	9739	PRJNA478376	478376	Animals	Mammals	4816.48	40.2	GCA_003435595.3	NA	QUXD02	97787	NA	NA	2018-08-31	2018-11-02	Scaffold	Johns Hopkins University	SAMN09426418
Talaromyces marneffei	37727	PRJNA542569	542569	Fungi	Ascomycetes	27.1822	46.8	GCA_006111635.1	NA	VATJ01	512	NA	NA	2019-06-06	2019-06-06	Contig	West China Hospital, Sichuan University	SAMN11633700
Pyrenophora tritici-repentis	45151	PRJNA315205	315205	Fungi	Ascomycetes	34.0465	50.8	GCA_003231325.1	NA	MVBF01	3579	11169	11072	2018-06-15	2019-10-07	Scaffold	Curtin University	SAMN04550938
Fusarium oxysporum f. sp. cubense	61366	PRJNA529756	529756	Fungi	Ascomycetes	51.1395	47.5	GCA_005930515.1	NA	SRMI01	12	16536	16784	2019-06-03	2019-08-01	Contig	RIKEN	SAMN11282975
Oryzias latipes	8090	PRJNA325193	325193	Animals	Fishes	749.06	40.8174	GCA_004348135.1	chromosome 1:CM014856.1; chromosome 2:CM014857.1; chromosome 3:CM014858.1; chromosome 4:CM014859.1; chromosome 5:CM014860.1; chromosome 6:CM014861.1; chromosome 7:CM014862.1; chromosome 8:CM014863.1; chromosome 9:CM014864.1; chromosome 10:CM014865.1; chromosome 11:CM014866.1; chromosome 12:CM014867.1; chromosome 13:CM014868.1; chromosome 14:CM014869.1; chromosome 15:CM014870.1; chromosome 16:CM014871.1; chromosome 17:CM014872.1; chromosome 18:CM014873.1; chromosome 19:CM014874.1; chromosome 20:CM014875.1; chromosome 21:CM014876.1; chromosome 22:CM014877.1; chromosome 23:CM014878.1; chromosome 24:CM014879.1	RXZZ01	2191	NA	NA	2019-02-12	2019-03-15	Chromosome	The University of Tokyo	SAMN06689975
Aspergillus oryzae 3.042	1160506	PRJNA88495	88495	Fungi	Ascomycetes	36.5765	48.2824	GCA_000269785.2	mitochondrion MT:JX129489.1	AKHY01	226	11640	11397	2012-06-18	2014-08-11	Contig	Tianjin University of Science & Technology	SAMN02981419
Parastagonospora nodorum	13684	PRJNA476481	476481	Fungi	Ascomycetes	37.4118	50	GCA_003497825.1	NA	QVWQ01	929	NA	NA	2018-09-07	2018-09-07	Contig	Centre for Crop & Disease Management, Curtin University	SAMN09435533
Oryza rufipogon	4529	PRJEB29274	514645	Plants	Land Plants	0.430311	43.4	GCA_900609345.1	NA	UXBX01	112	NA	NA	2019-01-10	2019-01-10	Contig	HUAZHONG AGRICULTRAL UNIVERSITY	SAMEA1531283
Zymoseptoria tritici STIR04_A26b	983958	PRJNA414407	414407	Fungi	Ascomycetes	39.329	51.7356	GCA_002937415.1	chromosome 1:CM009521.1; chromosome 2:CM009522.1; chromosome 3:CM009523.1; chromosome 4:CM009524.1; chromosome 5:CM009525.1; chromosome 6:CM009526.1; chromosome 7:CM009527.1; chromosome 8:CM009528.1; chromosome 9:CM009529.1; chromosome 10:CM009530.1; chromosome 11:CM009531.1; chromosome 12:CM009532.1; chromosome 13:CM009533.1; chromosome 14:CM009534.1; chromosome 15:CM009535.1; chromosome 16:CM009536.1; chromosome 17:CM009537.1; chromosome 19:CM009538.1	PEBO01	22	NA	NA	2018-02-21	2018-02-23	Chromosome	Christian-Albrechts University of Kiel	SAMN02981321
Callithrix jacchus	9483	PRJDB8242	596689	Animals	Mammals	2791.26	40.9	GCA_009811775.1	NA	BJKT01	65	NA	NA	2019-12-18	2019-12-18	Scaffold	Keio University	SAMD00169834
Aspergillus niger	5061	PRJNA562509	562509	Fungi	Ascomycetes	35.2652	49.5	GCA_009812365.1	NA	VTFN01	14	NA	NA	2019-12-31	2019-12-31	Contig	East China University of Science and technology	SAMN12642294
Cryptosporidium hominis	237895	PRJNA222836	222836	Protists	Apicomplexans	9.10774	30.1	GCA_001593465.1	NA	JIBM01	119	3797	3745	2016-03-17	2017-04-04	Contig	IGS	SAMN02382005
Galdieria sulphuraria	130081	PRJNA512382	512382	Other	Other	14.9067	37.6	GCA_006232515.1	NA	SDGF01	129	NA	NA	2019-06-11	2019-06-11	Contig	Heinrich Heine Universitaet Duesseldorf	SAMN10666933
Solanum tuberosum subsp. andigenum	80418	PRJNA556263	556263	Plants	Land Plants	991.109	34.8	GCA_009849725.1	NA	WBIF01	310723	NA	NA	2020-01-10	2020-01-10	Contig	McGill University	SAMN12684894
Vitis vinifera	29760	PRJNA550461	550461	Plants	Land Plants	605.09	34.1	GCA_011037095.1	NA	JAAFCG01	683	NA	NA	2020-02-27	2020-02-27	Scaffold	University of California, Irvine	SAMN12130050
Canis lupus	9612	PRJEB31489	572806	Animals	Mammals	0.016129	39.4	GCA_902724085.1	chromosome 1:LR745073.1	NA	1	NA	NA	2020-01-09	2020-01-09	Chromosome	CENTRE FOR GEOGENETICS	SAMEA6249895
Taeniopygia guttata	59729	PRJNA17289	17289	Animals	Birds	1232.14	41.1172	GCA_000151805.2	chromosome 1:CM000515.1; chromosome 1A:CM000516.1; chromosome 1B:CM000517.1; chromosome 2:CM000518.1; chromosome 3:CM000519.1; chromosome 4:CM000520.1; chromosome 4A:CM000521.1; chromosome 5:CM000522.1; chromosome 6:CM000523.1; chromosome 7:CM000524.1; chromosome 8:CM000525.1; chromosome 9:CM000526.1; chromosome 10:CM000527.1; chromosome 11:CM000528.1; chromosome 12:CM000529.1; chromosome 13:CM000530.1; chromosome 14:CM000531.1; chromosome 15:CM000532.1; chromosome 16:CM000533.1; chromosome 17:CM000534.1; chromosome 18:CM000535.1; chromosome 19:CM000536.1; chromosome 20:CM000537.1; chromosome 21:CM000538.1; chromosome 22:CM000539.1; chromosome 23:CM000540.1; chromosome 24:CM000541.1; chromosome 25:CM000542.1; chromosome 26:CM000543.1; chromosome 27:CM000544.1; chromosome 28:CM000545.1; chromosome LGE22:CM000549.1; chromosome LG2:CM000547.1; chromosome LG5:CM000548.1; chromosome Z:CM000546.1	ABQF01	37422	NA	NA	2008-09-03	2014-08-11	Chromosome	Washington University Genome Sequencing Center	SAMN02981239
Aspergillus flavus	5059	PRJNA483051	483051	Fungi	Ascomycetes	37.703	47.4	GCA_003709025.1	NA	QQZZ01	199	12846	12846	2018-10-31	2018-10-31	Scaffold	USDA-ARS-SRRC	SAMN09724894
Schizophyllum commune	5334	PRJNA591314	591314	Fungi	Basidiomycetes	37.8193	57.5	GCA_009746445.1	NA	WSEO01	3117	NA	NA	2019-12-13	2019-12-13	Contig	Skolkovo Institute of Science and Technology	SAMN13531018
Saccharomyces pastorianus CBS 1503	1429090	PRJNA229839	229839	Fungi	Ascomycetes	16.4148	39.4	GCA_002557695.1	NA	AYZZ01	720	NA	NA	2017-10-16	2017-10-16	Contig	Carlsberg Laboratory	SAMN07774501
Komagataella pastoris	4922	PRJEB12220	311185	Fungi	Ascomycetes	9.35967	41.1	GCA_900016405.1	NA	FBTN01	164	NA	NA	2016-02-06	2016-02-06	Contig	CEBITEC	SAMEA3719047
Rhizopus oryzae Type I NRRL 13440	1279475	PRJNA186013	186013	Fungi	Other Fungi	43.351	35.2	GCA_000697075.1	NA	JNDU01	5022	NA	NA	2014-06-02	2014-06-02	Contig	IGS	SAMN02352532
Clavispora lusitaniae	36911	PRJNA504391	504391	Fungi	Ascomycetes	12.1039	44.5599	GCA_009498095.1	chromosome 1:CP039652.1; chromosome 2:CP039653.1; chromosome 3:CP039654.1; chromosome 4:CP039655.1; chromosome 5:CP039656.1; chromosome 6:CP039657.1; chromosome 7:CP039658.1; chromosome 8:CP039659.1	NA	8	5892	5684	2019-11-04	2019-11-05	Complete Genome	University of Lausanne	SAMN10390875
Meyerozyma guilliermondii	4929	PRJEB27464	478183	Fungi	Ascomycetes	10.6144	43.7	GCA_900500645.1	NA	UIND01	89	NA	NA	2018-08-06	2018-08-06	Contig	CNGB	SAMEA4762484
Histoplasma capsulatum var. capsulatum Tmu	1226784	PRJNA173806	173806	Fungi	Ascomycetes	46.124	39.4	GCA_000313325.1	NA	AMXR01	10513	NA	NA	2012-11-19	2014-08-11	Contig	Taipei Medical University	SAMN02981464
Trichinella spiralis	6334	PRJNA12603	12603	Animals	Roundworms	63.5254	35.1	GCA_000181795.2	NA	ABIR02	6863	16549	16380	2007-12-14	2019-01-10	Scaffold	Washington University School of Medicine	SAMN02953711
Beta vulgaris subsp. vulgaris	3555	PRJNA41497	41497	Plants	Land Plants	479.876	36.5	GCA_000510875.1	NA	AYZX01	47405	NA	NA	2013-12-18	2014-01-23	Scaffold	Beta vulgaris resource	SAMN02182567
Phytophthora ramorum	164328	PRJNA291992	291992	Protists	Other Protists	41.753	53.9	GCA_001278145.1	NA	LHTT01	4461	NA	NA	2015-09-02	2016-01-08	Scaffold	University of Exeter	SAMN03959803
Macaca mulatta	9544	PRJNA509445	509445	Animals	Mammals	2832.42	41	GCA_005453305.1	NA	SBKD01	1633	NA	NA	2019-05-16	2019-05-16	Contig	None	SAMN10580871
Pan troglodytes	9598	PRJEB6763	374443	Animals	Mammals	4.89725	44.6	GCA_900156565.1	NA	FTQW01	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660243
Drosophila simulans	7240	PRJNA17563	17563	Animals	Insects	85.0591	43.3	GCA_000180855.1	NA	AAST01	44147	NA	NA	2006-08-07	2014-08-06	Contig	Washington University School of Medicine, Genome Sequencing Center	SAMN02953664
Debaryomyces hansenii	4959	PRJNA471710	471710	Fungi	Ascomycetes	11.9084	35.6	GCA_006942225.1	NA	QGFW01	257	NA	NA	2019-07-12	2019-07-12	Scaffold	University of Puerto Rico at Mayaguez	SAMN09214158
Yarrowia lipolytica	4952	PRJNA437435	437435	Fungi	Ascomycetes	20.1211	49.105	GCA_003054345.1	chromosome A:CP028448.1; chromosome B:CP028449.1; chromosome C:CP028450.1; chromosome D:CP028451.1; chromosome E:CP028452.1; chromosome F:CP028453.1	NA	6	NA	NA	2018-04-17	2018-04-17	Chromosome	Technical University of Denmark	SAMN08667772
[Candida] glabrata	5478	PRJNA525402	525402	Fungi	Ascomycetes	12.2369	38.5	GCA_004332455.1	NA	SKBK01	202	NA	NA	2019-03-08	2019-03-08	Scaffold	Institute for Bioengineering and Biosciences, Instituto Superior Tecnico	SAMN11050249
Sorghum bicolor	4558	PRJNA74553	74553	Plants	Land Plants	0.021299	52	GCA_000236745.2	NA	AHAP01	35	35	35	2011-12-02	2014-08-11	Contig	BGI	SAMN02981390
Coccidioides posadasii RMSCC 1037	490065	PRJNA17791	17791	Fungi	Ascomycetes	26.6594	46.8	GCA_000150555.1	NA	ABIS01	635	NA	NA	2008-01-28	2015-07-13	Scaffold	Broad Institute	SAMN02953712
Canis lupus familiaris	9615	PRJNA399441	399441	Animals	Mammals	2544.13	41.6	GCA_004027395.1	NA	PVKO01	656742	NA	NA	2019-01-16	2019-01-16	Scaffold	Broad Institute	SAMN07678141
Sus scrofa	9823	PRJNA309108	309108	Animals	Mammals	2437.11	41.5	GCA_001700165.1	NA	LUXS01	82206	NA	NA	2016-08-05	2016-08-05	Scaffold	Novogene	SAMN04440474
Saccharomyces kudriavzevii IFO10990	1163646	PRJNA42347	42347	Fungi	Ascomycetes	10.5207	40.6	GCA_000257105.1	NA	AJIE01	1817	NA	NA	2012-03-23	2012-04-20	Scaffold	University of Colorado Denver Health Sciences Center	SAMN00829193
Rattus norvegicus	10116	PRJNA18693	18693	Animals	Mammals	50.2245	41.3	GCA_000181035.1	NA	AAXP01	73497	NA	NA	2007-04-10	2014-08-11	Contig	STAR - a SNP and haplotype map for the rat	SAMN02981235
Ustilago maydis	5270	PRJNA322266	322266	Fungi	Basidiomycetes	20.6221	53.8	GCA_001660065.1	NA	LYOO01	4767	NA	NA	2016-06-08	2016-06-08	Contig	BioSC Pektilyse	SAMN05150233
Plasmodium yoelii	5861	PRJEB1062	205707	Protists	Apicomplexans	22.8092	21.713	GCA_900617885.1	chromosome 1:LR129826.1; chromosome 2:LR129827.1; chromosome 3:LR129828.1; chromosome 4:LR129829.1; chromosome 5:LR129830.1; chromosome 6:LR129831.1; chromosome 7:LR129832.1; chromosome 8:LR129833.1; chromosome 9:LR129834.1; chromosome 10:LR129835.1; chromosome 11:LR129836.1; chromosome 12:LR129837.1; chromosome 13:LR129838.1; chromosome 14:LR129839.1	UYID01	3182	NA	NA	2018-11-22	2018-11-22	Chromosome	SC	SAMEA1712522
Saccharomyces paradoxus	27291	PRJNA554649	554649	Fungi	Ascomycetes	12.0411	38.7	GCA_009805645.1	NA	VLHU01	25	NA	NA	2019-12-27	2019-12-27	Contig	UNIVERSITY OF CALIFORNIA, IRVINE	SAMN12280085
Pyricularia oryzae	318829	PRJNA556096	556096	Fungi	Ascomycetes	44.6375	51	GCA_011799925.1	NA	JAATWG01	10	NA	NA	2020-03-31	2020-03-31	Contig	Fujian Agriculture and Forestry University	SAMN12340661
Cryptococcus neoformans var. grubii	178876	PRJNA517966	517966	Fungi	Basidiomycetes	18.8901	48.1731	GCA_010065295.1	chromosome 1:CM021034.1; chromosome 2:CM021035.1; chromosome 4:CM021036.1; chromosome 5:CM021037.1; chromosome 6:CM021038.1; chromosome 8:CM021039.1; chromosome 9:CM021040.1; chromosome 10:CM021041.1; chromosome 12:CM021042.1; chromosome 13:CM021043.1; chromosome 14:CM021044.1; chromosome (11;3):CM021045.1; chromosome (3;11):CM021046.1	JAACIS01	15	NA	NA	2020-01-29	2020-02-10	Chromosome	Broad Institute	SAMN10848925
Fusarium graminearum	5518	PRJNA475366	475366	Fungi	Ascomycetes	36.7757	48.3	GCA_006942295.1	NA	VIGE01	335	NA	NA	2019-07-12	2019-07-12	Scaffold	Laboratory of Microbiology, Parasitology and Hygiene	SAMN09387754
Aspergillus terreus	33178	PRJNA316035	316035	Fungi	Ascomycetes	29.3254	51.1	GCA_001630395.1	NA	LWBM01	26	NA	NA	2016-04-25	2016-06-21	Scaffold	Bangalore University	SAMN04574062
Mus musculus	10090	PRJNA310854	310854	Animals	Mammals	2588.62	42.4778	GCA_001624535.1	chromosome 1:CM004074.1; chromosome 2:CM004075.1; chromosome 3:CM004076.1; chromosome 4:CM004077.1; chromosome 5:CM004078.1; chromosome 6:CM004079.1; chromosome 7:CM004080.1; chromosome 8:CM004081.1; chromosome 9:CM004082.1; chromosome 10:CM004083.1; chromosome 11:CM004084.1; chromosome 12:CM004085.1; chromosome 13:CM004086.1; chromosome 14:CM004087.1; chromosome 15:CM004088.1; chromosome 16:CM004089.1; chromosome 17:CM004090.1; chromosome 18:CM004091.1; chromosome 19:CM004092.1; chromosome X:CM004093.1; mitochondrion MT:CM004184.1	LVXQ01	5013	NA	NA	2016-04-15	2016-04-25	Chromosome	Wellcome Trust Sanger Institute	SAMN04489825
Homo sapiens	9606	PRJNA483067	483067	Animals	Mammals	5786.5	40.9516	GCA_003634875.1	chromosome 1:CM010831.1; chromosome 1:CM010808.1; chromosome 2:CM010809.1; chromosome 2:CM010832.1; chromosome 3:CM010810.1; chromosome 3:CM010833.1; chromosome 4:CM010811.1; chromosome 4:CM010834.1; chromosome 5:CM010812.1; chromosome 5:CM010835.1; chromosome 6:CM010813.1; chromosome 6:CM010836.1; chromosome 7:CM010837.1; chromosome 7:CM010814.1; chromosome 8:CM010838.1; chromosome 8:CM010815.1; chromosome 9:CM010839.1; chromosome 9:CM010816.1; chromosome 10:CM010840.1; chromosome 10:CM010817.1; chromosome 11:CM010841.1; chromosome 11:CM010818.1; chromosome 12:CM010819.1; chromosome 12:CM010842.1; chromosome 13:CM010843.1; chromosome 13:CM010820.1; chromosome 14:CM010821.1; chromosome 14:CM010844.1; chromosome 15:CM010822.1; chromosome 15:CM010845.1; chromosome 16:CM010846.1; chromosome 16:CM010823.1; chromosome 17:CM010824.1; chromosome 17:CM010847.1; chromosome 18:CM010825.1; chromosome 18:CM010848.1; chromosome 19:CM010826.1; chromosome 19:CM010849.1; chromosome 20:CM010827.1; chromosome 20:CM010850.1; chromosome 21:CM010828.1; chromosome 21:CM010851.1; chromosome 22:CM010829.1; chromosome 22:CM010852.1; chromosome X:CM010830.1; chromosome X:CM010853.1	RBJD01	566	NA	NA	2018-10-05	2018-10-19	Chromosome	Pacific Biosciences	SAMN10182268
Drosophila melanogaster	7227	PRJNA418342	418342	Animals	Insects	135.977	42.0569	GCA_003401925.1	chromosome X:CM010583.1; chromosome 2L:CM010584.1; chromosome 2R:CM010585.1; chromosome 3L:CM010586.1; chromosome 3R:CM010587.1; chromosome 4:CM010588.1; mitochondrion MT:CM010589.1	PGRR01	39	NA	NA	2018-08-16	2018-08-17	Chromosome	University of California - Irvine	SAMN08026575
Plasmodium vivax Mauritania I	1035515	PRJNA67237	67237	Protists	Apicomplexans	28.4638	40.5718	GCA_000320665.2	apicoplast Pltd:JQ437258.1	AFNI01	206	60	31	2012-07-25	2015-07-22	Scaffold	Broad Institute	SAMN00710347
Caenorhabditis elegans	6239	PRJEB19223	375858	Animals	Roundworms	117.022	NA	GCA_900160655.1	NA	FUEF01	38645	NA	NA	2017-02-19	2017-02-19	Contig	UC SANTA CRUZ	SAMEA55239418
Plasmodium falciparum	5833	PRJEB8808	287239	Protists	Apicomplexans	23.1471	19.3098	GCA_900632005.1	chromosome 1:LR131386.1; chromosome 2:LR131387.1; chromosome 3:LR131388.1; chromosome 4:LR131389.1; chromosome 5:LR131390.1; chromosome 6:LR131391.1; chromosome 7:LR131392.1; chromosome 8:LR131393.1; chromosome 9:LR131394.1; chromosome 10:LR131395.1; chromosome 11:LR131396.1; chromosome 12:LR131397.1; chromosome 13:LR131398.1; chromosome 14:LR131399.1; mitochondrion 15:LR131400.1; apicoplast 16:LR131401.1	UZWK01	20	NA	NA	2018-12-10	2018-12-10	Chromosome	SC	SAMEA3403285
Toxoplasma gondii RH	383379	PRJNA294483	294483	Protists	Apicomplexans	69.3493	50.5	GCA_001593265.1	NA	LLKL01	441	NA	NA	2016-03-16	2016-03-16	Scaffold	University of Malaya	SAMN04026592
Cryptosporidium parvum	5807	PRJNA253843	253843	Protists	Apicomplexans	9.00154	30.3	GCA_001305415.1	NA	LKHM01	18	NA	NA	2015-10-01	2015-10-01	Scaffold	Public Health Wales (Microbiology)	SAMN04088925
Entamoeba histolytica HM-3:IMSS	885315	PRJNA72935	72935	Protists	Other Protists	13.8307	25.3	GCA_000346345.1	NA	APGI01	1880	NA	NA	2013-03-13	2014-08-06	Scaffold	J. Craig Venter Institute	SAMN02953844
Giardia lamblia P15	658858	PRJNA39315	39315	Protists	Other Protists	11.5221	47.2	GCA_000182665.1	NA	ACVC01	820	5150	5007	2010-10-05	2014-08-06	Contig	Karolinska Institutet, Department of Cell and molecular biology	SAMN02953764
Trypanosoma cruzi Dm28c	1416333	PRJNA225928	225928	Protists	Kinetoplasts	27.3477	50.6	GCA_000496795.1	NA	AYLP01	1210	11398	11348	2013-11-13	2014-08-06	Contig	LNCC	SAMN02953876
Candida albicans	5476	PRJNA543142	543142	Fungi	Ascomycetes	15.4549	33.6669	GCA_005890775.1	chromosome 1:CM016754.1; chromosome 2:CM016755.1; chromosome 3:CM016756.1; chromosome 4:CM016757.1; chromosome 5:CM016758.1; chromosome 6:CM016759.1; chromosome 7:CM016760.1; chromosome R:CM016761.1	VBUX01	8	NA	NA	2019-05-30	2019-05-31	Chromosome	University of Georgia	SAMN11464300
Saccharomyces cerevisiae YJM993	1294331	PRJNA189879	189879	Fungi	Ascomycetes	12.4989	38.5256	GCA_000662435.2	chromosome I:CP004442.2; chromosome II:CP004601.2; chromosome III:CP006363.1; chromosome IV:CP004692.2; chromosome V:CP004786.2; chromosome VI:CP004922.2; chromosome VII:CP005226.2; chromosome VIII:CP006151.2; chromosome IX:CP005014.2; chromosome X:CP005109.1; chromosome XI:CP005323.2; chromosome XII:CP006467.1; chromosome XIII:CP005424.2; chromosome XIV:CP005526.2; chromosome XV:CP005620.2; chromosome XVI:CP006243.1; plasmid 2 micron:CP004528.1; mitochondrion MT:CP006506.1	NA	18	6961	5470	2014-05-01	2015-04-09	Chromosome	Duke University	SAMN01923145
Aspergillus fumigatus A1163	451804	PRJNA18733	18733	Fungi	Ascomycetes	29.2054	49.5	GCA_000150145.1	NA	ABDB01	55	NA	NA	2007-06-26	2014-08-04	Scaffold	J. Craig Venter Institute	SAMN00115744
Triticum aestivum	4565	PRJEB35709	599901	Plants	Land Plants	14201.4	43.9	GCA_902810675.1	NA	CADDYO01	1411939	NA	NA	2020-03-12	2020-03-12	Scaffold	EI	SAMEA6374024
Zea mays	4577	PRJEB31061	600447	Plants	Land Plants	2214.05	46.7511	GCA_902167375.1	chromosome 1:LR633933.1; chromosome 2:LR633934.1; chromosome 3:LR633935.1; chromosome 4:LR633936.1; chromosome 5:LR633937.1; chromosome 6:LR633938.1; chromosome 7:LR633939.1; chromosome 8:LR633940.1; chromosome 9:LR633941.1; chromosome 10:LR633942.1	CABHMA01	1012	NA	NA	2020-01-10	2020-01-10	Chromosome	MaizeGDB	SAMEA5313315
Oryza sativa Indica Group	39946	PRJNA564763	564763	Plants	Land Plants	392.847	43.6492	GCA_009831025.1	chromosome 1:CM020670.1; chromosome 2:CM020671.1; chromosome 3:CM020672.1; chromosome 4:CM020673.1; chromosome 5:CM020674.1; chromosome 6:CM020675.1; chromosome 7:CM020676.1; chromosome 8:CM020677.1; chromosome 9:CM020678.1; chromosome 10:CM020679.1; chromosome 11:CM020680.1; chromosome 12:CM020681.1	VXJI01	28	NA	NA	2020-01-03	2020-01-06	Chromosome	University of Arizona	SAMN12721963
Hordeum vulgare subsp. vulgare	112509	PRJEB84	178061	Plants	Land Plants	2019.37	41.2	GCA_002900805.1	NA	CAJV01	2742077	NA	NA	2012-10-19	2015-02-01	Scaffold	IPK-Gatersleben	SAMEA3146283
Medicago truncatula	3880	PRJNA256006	256006	Plants	Land Plants	426.024	31.2	GCA_002251955.1	NA	MNAG01	2700	NA	NA	2017-08-15	2017-08-15	Scaffold	National Center for Genome Resources	SAMN04595061
Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	119.75	36.0698	GCA_902460275.1	chromosome 1:LR699760.1; chromosome 2:LR699761.1; chromosome 3:LR699762.1; chromosome 4:LR699763.1; chromosome 5:LR699764.1	CABPTK01	102	NA	NA	2019-08-27	2019-08-27	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751960
Schizosaccharomyces pombe	4896	PRJNA527756	527756	Fungi	Ascomycetes	13.1495	36	GCA_006386305.1	NA	SNRF01	13	NA	NA	2019-06-24	2019-06-24	Contig	Uppsala University	SAMN11159128
Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	120.29	36.1365	GCA_902460295.1	chromosome 1:LR699750.1; chromosome 2:LR699751.1; chromosome 3:LR699752.1; chromosome 4:LR699753.1; chromosome 5:LR699754.1	CABPTI01	94	NA	NA	2019-08-27	2019-08-27	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751964
Hordeum vulgare	4513	PRJNA487965	487965	Plants	Land Plants	4006.12	44.3	GCA_004114815.1	NA	SDOW01	1856	63557	55706	2019-01-28	2019-11-29	Scaffold	Genebang	SAMN09914874
Oryza sativa aus subgroup	1736659	PRJNA565483	565483	Plants	Land Plants	384.204	43.5043	GCA_009831335.1	chromosome 1:CM020730.1; chromosome 2:CM020731.1; chromosome 3:CM020732.1; chromosome 4:CM020733.1; chromosome 5:CM020734.1; chromosome 6:CM020735.1; chromosome 7:CM020736.1; chromosome 8:CM020737.1; chromosome 9:CM020738.1; chromosome 10:CM020739.1; chromosome 11:CM020740.1; chromosome 12:CM020741.1	VYIG01	23	NA	NA	2020-01-03	2020-01-06	Chromosome	University of Arizona	SAMN12748600
Zea mays	4577	PRJEB31061	600447	Plants	Land Plants	2192.4	46.7944	GCA_902167175.1	chromosome 1:LR627503.1; chromosome 2:LR627504.1; chromosome 3:LR627505.1; chromosome 4:LR627506.1; chromosome 5:LR627507.1; chromosome 6:LR627508.1; chromosome 7:LR627509.1; chromosome 8:LR627510.1; chromosome 9:LR627511.1; chromosome 10:LR627512.1	CABHLN01	739	NA	NA	2020-01-10	2020-01-10	Chromosome	MaizeGDB	SAMEA5313313
Triticum aestivum	4565	PRJEB35709	599901	Plants	Land Plants	14299.5	42.1	GCA_902810655.1	NA	CADDYM01	1216421	NA	NA	2020-03-12	2020-03-12	Scaffold	EI	SAMEA6374020
Schizosaccharomyces pombe	4896	PRJNA527756	527756	Fungi	Ascomycetes	12.8583	36	GCA_006386185.1	NA	SNRK01	13	NA	NA	2019-06-24	2019-06-24	Contig	Uppsala University	SAMN11159123
Aspergillus fumigatus	746128	PRJNA319359	319359	Fungi	Ascomycetes	28.526	49.4	GCA_001643665.1	NA	LWRT01	301	NA	NA	2016-05-13	2016-05-13	Scaffold	Jet Propulsion Laboratory, California Institute of Technology	SAMN04886346
